"Destination","Type","Latitude","Longitude","Website Link","Image Link","ProximalBusStops"
"Hill Street Tai Hwa Pork Noodle","Food",1.305383925,103.8631794,"https://taihwa.com.sg/","https://taihwa.com.sg/img-vCDN/QzlrM0Q0VVJjOSt1Nm5mcDhmZncxWDdYMk81WE1EOHV6aHZ1bS9odnp6b2tuNjAyS3lHNEVIVGE=.orig.webp","01349,01341,01319,01311,07371,01329"
"Lighthouse Bistro","Food",1.308785919,103.8633031,"http://www.lighthouse-sg.com/","https://admin.misstamchiak.com/wp-content/uploads/2015/10/DSCF3617.jpg","01339,01341,01319,07371,01311,07379,07331"
"Atlas Coffeehouse","Food",1.323032864,103.8127106,"https://www.atlascoffeehouse.com.sg/","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQmIeXF_GQm5k6G_GMPNi5ueKsBI4n9pxMljNbUvVrruw&s","41031,41049,41111,41119,41121"
"Tanuki Raw","Food",1.36054136,103.9902857,"https://tanukiraw.com/","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTx3Km0Vf0D6Rn_drKfjxtkM5MPZQWMnUpbkhBko2Hmew&s","95029"
"Angus House","Food",1.302890795,103.8357169,"https://restaurant.angushouse.com.sg/","https://sethlui.com/wp-content/uploads/2014/09/angus-house-08066027.jpg","09048,09059,09037,09011"
"Ichikokudo Ramen","Food",1.295565438,103.8593439,"https://www.ichikokudo.com/menu-shoyu","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS0hUDMzZH_BxW3UsiA8PvGNDj3zye3VONLnKKK2xjUnw&s","80159,80151,01629,01621,02151,02141,01541,02089,02149,01631,02159,01519"
"D' Life","Food",1.351763917,103.7260114,"http://order.dlife.com.sg/","https://s3-ap-southeast-1.amazonaws.com/getz-prod/7c534005-7a13-48cb-89cb-334ba8fcaa35/192743306_1717170936SeafoodThaiFishHeadCurry.jpeg","28501,28509,28571,28519"
"Torasho Ramen & Charcoal Bar","Food",1.278822413,103.8445906,"https://www.torasho.sg/","https://sethlui.com/wp-content/uploads/2020/03/Torasho-Ramen-Charcoal-Bar-17.jpg","03111,05019,05521,03151,05429,05271,05259"
"Tom's Palette","Food",1.297429539,103.8562081,"https://www.tomspalette.com.sg/","https://scontent.cdninstagram.com/v/t51.29350-15/123214796_140576214458963_5651043468480134900_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=18de74&_nc_ohc=5tAMf7-8ONsAb5rLOxh&_nc_oc=AdhgUm6MZx2QiTePEn9KI7VYQDe8bzzE7vimgiM5odlsw95v6qDeH9QPqxu95ccWNuWFzF-bakSWg5wnwaVQC8cn&_nc_ht=scontent.cdninstagram.com&edm=ABbrh9MEAAAA&oh=00_AfAdZm4OhlL39s35MpYUfItRSA1O2h8cF6oUZ8QmnKpk7Q&oe=66137C17","80159,80151,01629,01621,02049,01119,01112,01541,01013,01039,01113,02149,01549,01639,01631,02159"
"Lolla","Food",1.281203748,103.845838,"https://lolla.com.sg/","https://travelswithagourmet.files.wordpress.com/2015/08/pcasa-gt-singapore-lolla.jpg","03071,03111,05039,05013,05131,03151,05269,05271,05189"
