Destination,Type,Latitude,Longitude, Website Link, Image Link
The Sushi Bar,Food,1.302921521,103.8345036, https://thesushibar.com.sg/, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQk_ia6_rWfdlTvXCY-4QkRr-iKYea2g2_pohIwLVmVPg&s 
Divine Vegetarian Family Restaurant,Food,1.372993389,103.89945, https://divinefamily.zzv.sg/Category, https://s3-ap-southeast-1.amazonaws.com/getz-prod/e8306aa4-960b-4bc3-b5b4-040f52e1d5df/483665287_377231834placeholder2600x400.jpg 
Hong Wen Mutton Soup,Food,1.339457136,103.7762656, https://www.facebook.com/hongwenmutton/, https://s3-ap-southeast-1.amazonaws.com/whyqsg/uploads/stalls/73951d831cd336b13baedb68e4da1a17.jpg 
Unagiya Ichinoji,Food,1.291481169,103.8420503, https://unagiyaichinoji.oddle.me/, https://s3-ap-southeast-1.amazonaws.com/v3-live.image.oddle.me/product/NEWUnagiMeatPlatter6a6bd1.jpg 
Fu Ming Cooked Food,Food,1.287649917,103.8192393, https://sethlui.com/fu-ming-cooked-food-carrot-cake-singapore/, https://i.ytimg.com/vi/Mc58GlBCpeI/mqdefault.jpg 
Bread Street Kitchen,Food,1.282783148,103.8583228, https://www.gordonramsayrestaurants.com/bread-street-kitchen-singapore/, https://www.marinabaysands.com/content/dam/marinabaysands/restaurants-listing/bread-street-kitchen/breadstreet-kitchen-porterhouse.jpg 
928 Yishun Laksa,Food,1.427579209,103.8381357, https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d8832286-Reviews-928_Yishun_Laksa-Singapore.html, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/98/2e/bb/man-fu-yuan-michelin.jpg?w=600&h=-1&s=1 
Konjiki Hototogisu,Food,1.294907577,103.853305, https://www.facebook.com/KonjikiHototogisuSGP/, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8nujtsHLKVps9-Y2yXcrD-SVuj6uTSxWYv7TLHEbVew&s 
Hakata Ikkousha Ramen,Food,1.296726957,103.8534269,https://www.ikkousha.sg/, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT93cl1GVO8aSpFLk0TJoljaUB5VT24IXjEFNN0I-H5BQ&s 
Soon Hiang Png,Food,1.334810663,103.722239,https://scontent.cdninstagram.com/v/t51.2885-15/77046048_844602139295041_1563306681090446382_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=18de74&_nc_ohc=Jjp78V2BzlUAb4qZVJ4&_nc_ht=scontent.cdninstagram.com&edm=ABbrh9MEAAAA&oh=00_AfAsXvn9GSFQjSlWd4Ebv25d18um8QTGLddM9aj3_K7B0Q&oe=66136110,https://scontent.cdninstagram.com/v/t51.2885-15/71940896_178746103259712_6389116796343759730_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=18de74&_nc_ohc=7aLoifBCvZgAX8pGHgo&_nc_ht=scontent.cdninstagram.com&edm=ANo9K5cEAAAA&oh=00_AfBW8LO83SmPUqaGglooLHthhxmTKxNzqzQmzw8YlepQ7Q&oe=66134D5A
Symmetry,Food,1.304068472,103.8596838, http://www.symmetry.com.sg/, https://images.squarespace-cdn.com/content/v1/568ce3d4b204d5a4f88a89c8/45607b93-f04e-4be9-be19-c95188712fc4/IMG_3868.jpg 
Supply and Demand,Food,1.300614798,103.8397983, https://www.supplyanddemand.com.sg/, https://scontent.cdninstagram.com/v/t51.2885-15/70599525_142068683721868_1828956093296152594_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=18de74&_nc_ohc=rmANPKqNHRsAb5fxrRe&_nc_ht=scontent.cdninstagram.com&edm=ABbrh9MEAAAA&oh=00_AfCVxyU0tf8VIWuDeJKl-55_MTJqcv3S7CXBX-Dkayavog&oe=66134605
